epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
10,0.6896560478779066,0.6776675099096565,0.65,0.631578947368421,0.6624691358024691,0.026795373573770664,9.962976481665277e-06,0.1111111111111111,3,21,1.0,add_layer,committed,1,0,add_layer,False,False,False,False,True,False,False,[],0.0013923930135747832
11,0.6883471816206701,0.6872844091529653,0.6,0.5662650602409639,0.595679012345679,0.025610377867893858,9.105784138387563e-06,0.1111111111111111,3,21,1.0,keep,none,1,0,keep,False,False,False,False,True,False,False,[],0.0013052589804463063
12,0.6871034647643383,0.6860720292853941,0.6055555555555555,0.5798816568047337,0.6044444444444445,0.024393918370077684,8.263835821271791e-06,0.1111111111111111,3,21,1.0,keep,none,1,0,keep,False,False,False,False,True,False,False,[],0.0012644960058876132
13,0.6859334000889205,0.6849372004269907,0.6111111111111112,0.5930232558139535,0.6104938271604938,0.02318276926037802,7.464449870175852e-06,0.1111111111111111,3,21,1.0,keep,none,1,0,keep,False,False,False,False,True,False,False,[],0.001251074324989087
14,0.6848440705159338,0.6838889073180344,0.6166666666666667,0.5605095541401274,0.6195061728395062,0.022009278919423867,6.727377563476267e-06,0.1111111111111111,3,21,1.0,keep,none,1,0,keep,False,False,False,False,True,False,False,[],0.0012534402825571003
15,0.7004682514258859,0.6829296684454776,0.6277777777777778,0.5838509316770186,0.6265432098765432,0.029574043796511483,9.08783618971678e-06,0.08333333333333333,4,28,1.0,add_layer,committed,2,0,add_layer,False,False,False,False,True,False,False,[],0.0012645865246086623
16,0.6988235349566719,0.6995178842906714,0.5222222222222223,0.6587301587301587,0.42271604938271606,0.028631582377446278,8.518596635096704e-06,0.08333333333333333,4,28,1.0,keep,none,2,0,keep,False,False,False,False,True,False,False,[],0.001126699996778874
17,0.6972369408556633,0.6979557254342369,0.5222222222222223,0.6666666666666666,0.4402469135802469,0.027691584555258896,7.970551917986228e-06,0.08333333333333333,4,28,1.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.0010556343336325259
18,0.6957148991591702,0.6964511595818885,0.5222222222222223,0.6532258064516129,0.4553086419753087,0.02672867149555672,7.427842538074952e-06,0.08333333333333333,4,28,1.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.0010245802944578897
19,0.6942579543744363,0.6950122213910757,0.5222222222222223,0.6666666666666666,0.47358024691358025,0.025787619435600668,6.915881032796954e-06,0.08333333333333333,4,28,1.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.001017358182681868
20,0.6928625577426547,0.6936380949628391,0.5388888888888889,0.6556016597510373,0.49493827160493825,0.02489080199015628,6.444940641675788e-06,0.08333333333333333,4,28,1.0,propose_reduce_entanglement,in_progress,2,0,propose_reduce_entanglement,False,False,False,False,False,False,False,[],0.0010242314969267864
21,0.6915275540647193,0.6923258609097704,0.5277777777777778,0.2975206611570248,0.5149382716049382,0.024034099011819618,6.010402741605343e-06,0.08333333333333333,4,25,0.9045084971874737,keep,in_progress,2,0,keep,False,False,False,False,False,False,False,[],0.0010393480530064994
22,0.6902530027004551,0.6910732105600103,0.5555555555555556,0.6153846153846154,0.5369135802469136,0.023209217458455667,5.60610298799016e-06,0.08333333333333333,4,18,0.6545084971874737,keep,in_progress,2,0,keep,False,False,False,False,True,False,False,[],0.0010591834344517458
23,0.6890379671920555,0.6898768554266985,0.5722222222222222,0.641860465116279,0.5560493827160493,0.022408679349261218,5.226975334890532e-06,0.09375,4,10,0.34549150281252633,keep,in_progress,2,0,keep,False,False,False,False,True,False,False,[],0.0010816206229419454
