benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,4,4,20,20,5,37,3,0.02008146689208133,0.0018473319001089603,0.18275258965041047,0.1683008460675764,1.380119212983445e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,4,4,20,20,5,38,0,0.03486733833348938,0.002203608169067698,0.20234591757548034,0.14132651745080127,0.0016717194064821504,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,4,4,20,20,5,38,1,0.024528033284186998,0.0010417619800403308,0.1369727867399601,0.08090249993023577,0.0012857458446695726,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,4,4,20,20,5,38,2,0.03906956549150824,0.0029338176623549027,0.2312333792031531,0.16158745848407224,0.0035255706443101625,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,4,4,20,20,5,38,3,0.013600407901012763,0.00039557040976096716,0.09045076766927576,0.06112689382900138,6.325771833975829e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,4,3,20,18,6,39,0,0.03203468503271594,0.0018662759518349834,0.18956940375896236,0.11317990430954149,0.001412276531737785,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,4,3,20,18,6,39,1,0.036909233253617856,0.0020349541798928028,0.19424018797897777,0.11702709318217569,0.0014463488890324658,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,4,3,20,18,6,39,2,0.012725303645772526,0.0004353353978896069,0.09148253458055017,0.06806012805614839,1.8524090742437424e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,4,3,20,18,6,40,0,0.022379025162193072,0.0007167336831893646,0.11575856746302354,0.04613828052680297,0.00024389319761054448,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,4,3,20,18,6,40,1,0.025742633699242762,0.00079807973634013,0.1245285645867702,0.05421408541014587,0.0051281689593982195,0.0
