benchmark_mode,objective_type,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,budget_normalization,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,n_seeds,param_grad_mean,param_grad_variance_across_seeds,param_mean_abs_grad,param_near_zero_ratio
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,1,1,same_entangling_gate_count,0,4,RY,1,13,layer_000_wire_004_RY,3,9.396418828207704e-18,8.43785518278249e-34,1.9226518525409613e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,1,1,same_entangling_gate_count,0,4,RZ,2,14,layer_000_wire_004_RZ,3,9.135543537827116e-19,1.98890328739101e-34,1.0335999150395948e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,1,1,same_entangling_gate_count,0,5,RX,0,15,layer_000_wire_005_RX,3,-0.11049192187334086,0.01640652413785515,0.11149056858101496,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,1,1,same_entangling_gate_count,0,5,RY,1,16,layer_000_wire_005_RY,3,0.029910863508019234,0.0009454276954168824,0.03363135363308952,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,1,1,same_entangling_gate_count,0,5,RZ,2,17,layer_000_wire_005_RZ,3,-1.4770914457331357e-17,2.349237629202853e-34,1.6680281597858566e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,0,RX,0,0,layer_000_wire_000_RX,3,0.014936381238460361,0.000810134510018092,0.018792293072365938,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,0,RY,1,1,layer_000_wire_000_RY,3,0.01232332955865203,0.0007207627014328417,0.021553639180467956,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,0,RZ,2,2,layer_000_wire_000_RZ,3,-5.455161727691812e-18,1.4544128545994356e-33,3.0441056654136e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,1,RX,0,3,layer_000_wire_001_RX,3,-3.9211978571559074e-18,8.982050292495667e-35,7.390644809109522e-18,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,1,RY,1,4,layer_000_wire_001_RY,3,-6.909981845974281e-17,2.991460717004601e-33,6.909981845974282e-17,1.0
