benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,seed,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,grad_value,abs_grad,is_near_zero
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,0,RY,1,1,layer_000_wire_000_RY,-0.0007153198415812722,0.0007153198415812722,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,0,RZ,2,2,layer_000_wire_000_RZ,-5.1441036990588675e-18,5.1441036990588675e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,1,RX,0,3,layer_000_wire_001_RX,0.002521579982759068,0.002521579982759068,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,1,RY,1,4,layer_000_wire_001_RY,0.002815172621791631,0.002815172621791631,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,1,RZ,2,5,layer_000_wire_001_RZ,4.887687498442368e-18,4.887687498442368e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,2,RX,0,6,layer_000_wire_002_RX,0.003405020571422151,0.003405020571422151,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,2,RY,1,7,layer_000_wire_002_RY,0.0005056196274720588,0.0005056196274720588,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,2,RZ,2,8,layer_000_wire_002_RZ,-1.4815959220776183e-17,1.4815959220776183e-17,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,3,RX,0,9,layer_000_wire_003_RX,0.000786324662428945,0.000786324662428945,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,3,RY,1,10,layer_000_wire_003_RY,0.00021325409081857842,0.00021325409081857842,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,3,RZ,2,11,layer_000_wire_003_RZ,-4.930065627943088e-18,4.930065627943088e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,4,RX,0,12,layer_000_wire_004_RX,-3.079799576744358e-05,3.079799576744358e-05,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,4,RY,1,13,layer_000_wire_004_RY,0.00012305576260607544,0.00012305576260607544,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,4,RZ,2,14,layer_000_wire_004_RZ,4.284901454240974e-18,4.284901454240974e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,5,RX,0,15,layer_000_wire_005_RX,-0.00014441422450288985,0.00014441422450288985,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,5,RY,1,16,layer_000_wire_005_RY,2.7033553947560545e-05,2.7033553947560545e-05,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,2,0,5,RZ,2,17,layer_000_wire_005_RZ,8.989311461540361e-18,8.989311461540361e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,0,RX,0,0,layer_000_wire_000_RX,-0.007043081019363772,0.007043081019363772,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,0,RY,1,1,layer_000_wire_000_RY,0.048465790335316464,0.048465790335316464,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,0,RZ,2,2,layer_000_wire_000_RZ,4.0167925420790214e-17,4.0167925420790214e-17,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,1,RX,0,3,layer_000_wire_001_RX,-0.0006758675564342093,0.0006758675564342093,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,1,RY,1,4,layer_000_wire_001_RY,0.015444196842389245,0.015444196842389245,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,1,RZ,2,5,layer_000_wire_001_RZ,-1.263931179010195e-17,1.263931179010195e-17,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,2,RX,0,6,layer_000_wire_002_RX,-0.0010268232772213412,0.0010268232772213412,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,2,RY,1,7,layer_000_wire_002_RY,-0.010004644501509945,0.010004644501509945,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,2,RZ,2,8,layer_000_wire_002_RZ,-2.9035660261946396e-18,2.9035660261946396e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,3,RX,0,9,layer_000_wire_003_RX,0.0003343218744921977,0.0003343218744921977,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,3,RY,1,10,layer_000_wire_003_RY,0.0017615602270433875,0.0017615602270433875,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,3,RZ,2,11,layer_000_wire_003_RZ,-9.52952336011934e-18,9.52952336011934e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,4,RX,0,12,layer_000_wire_004_RX,0.0007257219629169796,0.0007257219629169796,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,4,RY,1,13,layer_000_wire_004_RY,-0.00012439312225966906,0.00012439312225966906,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,4,RZ,2,14,layer_000_wire_004_RZ,7.438321535019171e-18,7.438321535019171e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,5,RX,0,15,layer_000_wire_005_RX,-0.000917794488414028,0.000917794488414028,False
