benchmark_mode,objective_type,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,budget_normalization,mean_param_grad_variance_across_seeds,median_param_grad_variance_across_seeds,min_param_grad_variance_across_seeds,max_param_grad_variance_across_seeds,mean_param_abs_grad,mean_param_near_zero_ratio,n_params,n_seeds,log10_mean_param_grad_variance_across_seeds,log10_median_param_grad_variance_across_seeds,n_runs,mean_objective_value,mean_spatial_grad_variance,mean_grad_norm,mean_normalized_grad_norm,mean_abs_grad,mean_near_zero_ratio,mean_n_entangling_gates,mean_actual_entangling_budget,mean_target_entangling_budget,mean_layer_grad_norm,max_layer_near_zero_ratio,mean_layer_near_zero_ratio
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,4,3,same_entangling_gate_count,0.0009049779964157655,0.000507817151552631,2.4555358075458745e-36,0.004712281004902493,0.022418153054823378,0.1111111111111111,54,3,-3.043361980078097,-3.2942926348942185,3,0.03498979889126081,0.0009865067324187006,0.22758862187297316,0.03097088860288928,0.022418153054823378,0.1111111111111111,18.0,18.0,20.0,0.12757080763282522,0.3333333333333333,0.1111111111111111
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,8,7,same_entangling_gate_count,0.0008249399806117932,0.0005375355657002889,2.852183153805078e-35,0.00568382358769468,0.022437218462842686,0.047619047619047616,126,3,-3.083577647858942,-3.2695927956423434,3,0.006727348147251796,0.0008696250997707286,0.32932637779003393,0.02933872557422824,0.022437218462842686,0.047619047619047616,42.0,42.0,40.0,0.12242029520507483,0.3333333333333333,0.047619047619047616
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,1,1,same_entangling_gate_count,0.006082685775712148,2.717713551742358e-33,2.3886045208708882e-35,0.04134786555626806,0.030373806972953592,0.6666666666666666,18,3,-2.215904618092241,-30.0,3,0.09080467441739366,0.004896655850844873,0.29483750549509546,0.06949386649456933,0.030373806972953592,0.6666666666666666,5.0,5.0,5.0,0.29483750549509546,0.6666666666666666,0.6666666666666666
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,2,2,same_entangling_gate_count,0.0042194514632465045,0.0009490137344879191,1.7687118471062098e-34,0.04581143961038243,0.0346685250322267,0.3611111111111111,36,3,-2.374744004481322,-3.0227275022522098,3,0.07010804388134748,0.00336228489130198,0.3531750442937341,0.058862507382289014,0.03466852503222669,0.3611111111111111,10.0,10.0,10.0,0.24448624865139834,0.6666666666666666,0.3611111111111111
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,4,4,same_entangling_gate_count,0.006911591077192372,0.00265640258746394,3.028379077765404e-35,0.06286357939322983,0.05476617046130424,0.18055555555555555,72,3,-2.1604219647091973,-2.575706105409265,3,-0.027917670096129586,0.0073210630764918155,0.7280113077136404,0.08579695541080025,0.05476617046130424,0.18055555555555555,20.0,20.0,20.0,0.3352940774943924,0.6666666666666666,0.18055555555555555
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,8,8,same_entangling_gate_count,0.00788740195725248,0.004627585297586251,1.9198871985553408e-34,0.044178573789351284,0.06569771270646957,0.09027777777777778,144,3,-2.103066026123578,-2.3346455674038817,3,0.04128778470938085,0.0077760191834898495,1.0589231154395866,0.08824359295329888,0.06569771270646957,0.09027777777777778,40.0,40.0,40.0,0.36203539123439205,0.6666666666666666,0.09027777777777778
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0.006504184639249306,0.0040645986985846875,4.102795005948112e-35,0.03519798002949124,0.051751557648028836,0.4444444444444444,18,3,-2.186807138590352,-2.3909823262306813,3,0.016664266613738543,0.00684977199334792,0.35578832077400396,0.0838601114287576,0.051751557648028836,0.4444444444444444,5.0,5.0,5.0,0.35578832077400396,0.4444444444444444,0.4444444444444444
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,2,2,same_entangling_gate_count,0.0015116817185910686,0.00017286028601863352,3.75090440267724e-36,0.011039516395585045,0.027994822696457915,0.25,36,3,-2.8205396390003963,-3.762304772741639,3,-0.14304640091300783,0.0022137434857230917,0.28259686431053715,0.047099477385089523,0.02799482269645791,0.25,10.0,10.0,10.0,0.1996274057428059,0.4444444444444444,0.25
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,4,4,same_entangling_gate_count,0.0014480409080835427,0.0007267436793187772,1.5531198817678138e-35,0.01445176965228357,0.02546921567838084,0.125,72,3,-2.8392191688681585,-3.138618736714623,3,-0.05175442916081758,0.0013525021107523509,0.31069096031890275,0.036615280815809455,0.02546921567838084,0.125,20.0,20.0,20.0,0.14710123524905838,0.4444444444444444,0.125
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,8,8,same_entangling_gate_count,0.0006606383270529152,0.00032504835608519294,5.881391589955512e-36,0.007989463580292544,0.02102555037849011,0.0625,144,3,-3.1800362342402124,-3.4880520260402363,3,-0.048700570743246206,0.0007485225241289801,0.3285444414540474,0.02737870345450395,0.021025550378490108,0.0625,40.0,40.0,40.0,0.11119207976963791,0.4444444444444444,0.0625
